"competicion","week","date","match_id","personId","firstName","lastName","player","team","player_id","uniformNumber","isCaptain","CB","AS","BS","BSR","DR","OR","REB","FD","FG2A","FG2M","FG2P","FG3A","FG3M","FG3P","FGA","FGM","FGP","FTA","FTM","FTP","FGIA","FGIM","FGIP","PF","PTS","ST","TO","TP","PM","EFF","Starter","HasPlayed","equipo","op_equipo"
"FIBA Europe Cup",39,2025-09-24,128681,"239392","James","Frazier Jr","James Frazier Jr","A","P_239392","0",FALSE,FALSE,10,0,0,4,1,5,4,8,4,50,2,0,0,10,4,40,7,7,100,4,1,25,3,15,3,2,"32:47",16,25,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"221960","Aubrey Detroy","Mcalpine","Aubrey Detroy Mcalpine","A","P_221960","1",TRUE,FALSE,1,0,0,0,0,0,2,4,1,25,6,3,50,10,4,40,0,0,0,1,0,0,3,11,2,0,"25:42",7,8,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"369566","Azar","Ibrahimov","Azar Ibrahimov","A","P_369566","11",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"156153","Gediminas","Orelik","Gediminas Orelik","A","P_156153","17",FALSE,FALSE,5,0,0,1,4,5,2,6,3,50,8,1,12.5,14,4,28.6,0,0,0,6,3,50,2,9,2,1,"30:20",23,10,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"343499","Ismayil","Abdullayev","Ismayil Abdullayev","A","P_343499","2",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1:23",-4,-1,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"198338","Rustam","Aliyev","Rustam Aliyev","A","P_198338","21",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"334195","Arinze Thomas","Chidom","Arinze Thomas Chidom","A","P_334195","22",FALSE,FALSE,0,1,0,4,2,6,0,3,2,66.7,2,1,50,5,3,60,0,0,0,2,2,100,2,7,0,1,"28:56",14,11,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"374168","De'Sean Leighton Allen","Eikens","De'Sean Leighton Allen Eikens","A","P_374168","25",FALSE,FALSE,1,0,0,1,0,1,3,8,5,62.5,1,1,100,9,6,66.7,3,2,66.7,7,5,71.4,3,15,0,0,"17:2",2,13,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"304182","De'Ondre","Jackson","De'Ondre Jackson","A","P_304182","5",FALSE,FALSE,0,1,0,2,3,5,1,8,3,37.5,4,1,25,12,4,33.3,2,2,100,8,3,37.5,2,11,1,4,"23:49",6,6,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"350875","Jalen Amaniah","Shaw","Jalen Amaniah Shaw","A","P_350875","7",FALSE,FALSE,1,0,0,9,3,12,2,3,1,33.3,2,0,0,5,1,20,4,3,75,3,1,33.3,3,5,1,2,"17:48",4,12,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"224817","Saadettin","Donat","Saadettin Donat","A","P_224817","77",FALSE,FALSE,2,0,0,4,6,10,5,9,6,66.7,0,0,0,9,6,66.7,5,4,80,9,6,66.7,3,16,0,1,"22:12",12,23,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"217299","Nijat","Mammadli","Nijat Mammadli","A","P_217299","8",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"363510","Nigel","Hawkins","Nigel Hawkins","B","P_363510","1",FALSE,FALSE,4,0,0,1,1,2,2,5,2,40,4,2,50,9,4,44.4,2,2,100,4,1,25,2,12,2,4,"22:10",-16,11,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"227811","Ludvig","Johansson","Ludvig Johansson","B","P_227811","10",FALSE,FALSE,2,0,0,0,0,0,0,2,1,50,1,1,100,3,2,66.7,0,0,0,2,1,50,3,5,1,1,"14:28",-16,6,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"351141","Artemos","Tompazos","Artemos Tompazos","B","P_351141","11",FALSE,FALSE,1,0,0,0,0,0,2,2,0,0,5,2,40,7,2,28.6,1,1,100,1,0,0,0,7,1,1,"17:23",6,3,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"322792","Savvas","Ioannidis","Savvas Ioannidis","B","P_322792","12",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"373425","Kuany Atem","Kuany","Kuany Atem Kuany","B","P_373425","13",FALSE,FALSE,0,1,0,4,2,6,5,3,1,33.3,6,2,33.3,9,3,33.3,4,1,25,1,0,0,4,9,1,3,"27:5",-3,5,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"169330","Kyprianos","Maragkos","Kyprianos Maragkos","B","P_169330","14",FALSE,FALSE,0,0,0,3,0,3,4,2,1,50,3,1,33.3,5,2,40,8,5,62.5,2,1,50,2,10,0,1,"23:21",-19,6,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"256497","JoJo","Garcia","JoJo Garcia","B","P_256497","15",FALSE,FALSE,1,0,0,4,1,5,2,1,0,0,2,1,50,3,1,33.3,0,0,0,1,0,0,2,3,0,2,"25:41",6,5,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"265317","Zayd","Muosa","Zayd Muosa","B","P_265317","20",FALSE,FALSE,0,0,0,0,0,0,1,3,1,33.3,1,0,0,4,1,25,2,2,100,3,1,33.3,1,4,0,1,"10:40",-20,0,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"238619","Andreas","Himonas","Andreas Himonas","B","P_238619","30",FALSE,FALSE,3,0,0,4,0,4,1,2,1,50,5,1,20,7,2,28.6,0,0,0,1,1,100,2,5,2,1,"16:43",-4,8,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"398535","Tanner","Christensen","Tanner Christensen","B","P_398535","32",FALSE,FALSE,0,2,0,0,3,3,1,8,5,62.5,2,1,50,10,6,60,0,0,0,8,5,62.5,2,13,0,0,"25:52",3,14,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"198226","Rafail","Eleftheriou","Rafail Eleftheriou","B","P_198226","4",TRUE,FALSE,3,1,0,2,1,3,3,2,1,50,2,1,50,4,2,50,0,0,0,2,1,50,2,5,0,0,"16:37",-17,10,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"396539","Konstantinos","Agathokli","Konstantinos Agathokli","B","P_396539","8",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128683,"227071","Jan","Palokaj","Jan Palokaj","A","P_227071","0",FALSE,FALSE,0,0,0,3,0,3,0,5,2,40,5,1,20,10,3,30,0,0,0,3,1,33.3,1,7,1,2,"18:37",-14,2,TRUE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"252600","Altin","Morina","Altin Morina","A","P_252600","1",TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0:15",1,-1,FALSE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"345455","Besim","Bytyqi","Besim Bytyqi","A","P_345455","10",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"218451","Isaiah","Cousins","Isaiah Cousins","A","P_218451","11",FALSE,FALSE,3,0,0,1,6,7,4,15,8,53.3,4,1,25,19,9,47.4,5,2,40,11,5,45.5,3,21,1,3,"35:29",8,16,TRUE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"300966","Veton","Gjecaj","Veton Gjecaj","A","P_300966","13",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"205351","De'Quon","Lake","De'Quon Lake","A","P_205351","20",FALSE,FALSE,1,0,0,7,0,7,1,4,3,75,0,0,0,4,3,75,0,0,0,4,3,75,2,6,1,0,"30:30",-2,14,TRUE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"226761","Meriton","Ismaili","Meriton Ismaili","A","P_226761","22",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,2,1,50,2,1,50,0,0,0,0,0,0,1,3,0,0,"7:39",13,2,FALSE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"268829","Lejson","Zeqiri","Lejson Zeqiri","A","P_268829","27",FALSE,FALSE,1,0,0,1,0,1,2,2,1,50,2,2,100,4,3,75,0,0,0,2,1,50,4,8,1,1,"27:17",9,9,FALSE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"376613","TJ","Bickerstaff","TJ Bickerstaff","A","P_376613","3",FALSE,FALSE,1,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,2,1,0,3,"10:54",3,1,FALSE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"324567","Jeremiah","Bailey","Jeremiah Bailey","A","P_324567","4",FALSE,FALSE,2,0,0,3,2,5,4,7,3,42.9,5,3,60,12,6,50,5,1,20,5,2,40,5,16,3,2,"22:12",-4,14,TRUE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"220533","Kyan","Anderson","Kyan Anderson","A","P_220533","5",FALSE,FALSE,7,0,0,0,1,1,2,4,2,50,6,2,33.3,10,4,40,3,3,100,2,2,100,4,13,0,2,"27:51",10,13,TRUE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"225217","Valon","Bunjaku","Valon Bunjaku","A","P_225217","6",FALSE,FALSE,2,0,0,1,2,3,3,2,2,100,0,0,0,2,2,100,2,1,50,2,2,100,2,5,1,1,"19:17",1,9,FALSE,TRUE,"BC Bashkimi","Anwil Wloclawek"
"FIBA Europe Cup",39,2025-09-24,128683,"198141","Elvar","Fridriksson","Elvar Fridriksson","B","P_198141","0",FALSE,FALSE,5,0,0,4,1,5,7,1,1,100,2,0,0,3,1,33.3,6,3,50,1,1,100,2,5,1,3,"28:46",7,8,TRUE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"275127","Eric","Lockett","Eric Lockett","B","P_275127","1",FALSE,FALSE,3,0,0,2,0,2,1,1,0,0,2,1,50,3,1,33.3,2,2,100,1,0,0,4,5,1,2,"23:56",-11,7,TRUE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"322610","Bartosz","Lazarski","Bartosz Lazarski","B","P_322610","11",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:5",0,0,FALSE,FALSE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"183077","Kacper","Borowski","Kacper Borowski","B","P_183077","13",FALSE,FALSE,0,0,0,0,1,1,1,1,1,100,0,0,0,1,1,100,2,0,0,1,1,100,1,2,1,0,"6:26",-7,2,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"290644","Mate","Vucic","Mate Vucic","B","P_290644","15",FALSE,FALSE,3,1,0,5,3,8,1,5,4,80,0,0,0,5,4,80,2,1,50,5,4,80,4,9,0,5,"27:49",-1,14,TRUE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"327358","Dawid","Slupinski","Dawid Slupinski","B","P_327358","16",FALSE,FALSE,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"4:11",5,3,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"224839","Michal","Kolodziej","Michal Kolodziej","B","P_224839","22",FALSE,FALSE,0,0,0,1,0,1,0,2,1,50,0,0,0,2,1,50,0,0,0,2,1,50,0,2,0,0,"3:40",1,2,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"168727","Michal","Michalak","Michal Michalak","B","P_168727","23",TRUE,FALSE,1,0,0,1,1,2,2,6,6,100,2,0,0,8,6,75,3,2,66.7,5,5,100,1,14,1,2,"21:3",-7,13,TRUE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"184710","A.J.","Slaughter","A.J. Slaughter","B","P_184710","4",FALSE,FALSE,1,0,0,0,0,0,1,3,1,33.3,8,2,25,11,3,27.3,0,0,0,2,0,0,2,8,1,1,"17:23",0,1,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"341832","Isaiah","Mucius","Isaiah Mucius","B","P_341832","7",FALSE,FALSE,2,1,0,7,0,7,5,6,4,66.7,6,2,33.3,12,6,50,4,4,100,5,3,60,1,18,0,1,"36:20",-6,21,TRUE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"284124","Nijal","Pearson","Nijal Pearson","B","P_284124","77",FALSE,FALSE,2,0,0,0,0,0,2,3,1,33.3,1,0,0,4,1,25,3,2,66.7,3,1,33.3,1,4,0,3,"11:56",-10,-1,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128683,"259727","Justas","Furmanavicius","Justas Furmanavicius","B","P_259727","8",FALSE,FALSE,3,1,0,2,0,2,3,3,2,66.7,3,1,33.3,6,3,50,1,1,100,3,2,66.7,2,8,1,1,"18:25",4,11,FALSE,TRUE,"Anwil Wloclawek","BC Bashkimi"
"FIBA Europe Cup",39,2025-09-24,128685,"373092","Chase","Audige","Chase Audige","A","P_373092","1",FALSE,FALSE,2,0,0,1,0,1,1,5,3,60,9,4,44.4,14,7,50,0,0,0,4,3,75,1,18,3,0,"29:46",10,17,TRUE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"272838","Tayler","Persons","Tayler Persons","A","P_272838","11",FALSE,FALSE,2,0,0,3,0,3,1,3,1,33.3,2,1,50,5,2,40,0,0,0,2,1,50,3,5,2,1,"24:42",8,8,TRUE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"345596","Novak","Manojlovic","Novak Manojlovic","A","P_345596","14",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:53",-1,0,FALSE,FALSE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"182248","Doko","Salic","Doko Salic","A","P_182248","16",FALSE,FALSE,5,1,0,4,0,4,1,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,3,0,1,0,"14:6",10,8,TRUE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"250784","Michael","Young","Michael Young","A","P_250784","2",FALSE,FALSE,4,1,0,7,4,11,4,11,6,54.5,2,2,100,13,8,61.5,8,4,50,8,3,37.5,0,22,0,0,"27:40",28,29,TRUE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"315895","Jarrod","West","Jarrod West","A","P_315895","23",FALSE,FALSE,2,0,0,3,0,3,0,1,0,0,1,1,100,2,1,50,0,0,0,0,0,0,2,3,0,2,"17:52",16,5,FALSE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"290258","Uros","Grahovac","Uros Grahovac","A","P_290258","26",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"281299","Jure","Zubac","Jure Zubac","A","P_281299","31",FALSE,FALSE,1,1,0,2,2,4,2,1,0,0,0,0,0,1,0,0,4,2,50,1,0,0,1,2,1,1,"9:6",16,5,FALSE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"296324","Petar","Kovacevic","Petar Kovacevic","A","P_296324","35",FALSE,FALSE,0,0,0,5,1,6,2,7,5,71.4,1,0,0,8,5,62.5,2,1,50,7,5,71.4,2,11,0,0,"19:20",2,13,FALSE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"197616","Edin","Atic","Edin Atic","A","P_197616","5",FALSE,FALSE,2,0,0,5,1,6,2,7,3,42.9,6,1,16.7,13,4,30.8,0,0,0,5,2,40,2,9,3,3,"26:24",18,8,FALSE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"160787","Miralem","Halilovic","Miralem Halilovic","A","P_160787","7",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"209863","Haris","Delalic","Haris Delalic","A","P_209863","9",TRUE,FALSE,2,0,0,3,2,5,1,11,5,45.5,4,0,0,15,5,33.3,2,2,100,8,5,62.5,2,12,0,1,"30:11",18,8,TRUE,TRUE,"KK Bosna BH Telecom","Kangoeroes Basket Mechelen"
"FIBA Europe Cup",39,2025-09-24,128685,"273241","Cedric","Dedecker","Cedric Dedecker","B","P_273241","1",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"160226","Augustas","Peciukevicius","Augustas Peciukevicius","B","P_160226","12",TRUE,FALSE,2,0,0,5,0,5,0,2,1,50,1,0,0,3,1,33.3,0,0,0,1,1,100,1,2,0,1,"18:14",-14,6,FALSE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"319611","Len","Bastiaenssen","Len Bastiaenssen","B","P_319611","15",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"315273","Yannick","Dammen","Yannick Dammen","B","P_315273","2",FALSE,FALSE,0,1,0,4,0,4,1,1,0,0,4,2,50,5,2,40,0,0,0,1,0,0,3,6,1,1,"24:47",-19,8,TRUE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"343528","Lukas","De Ridder","Lukas De Ridder","B","P_343528","21",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"269664","Leander","Dedroog","Leander Dedroog","B","P_269664","22",FALSE,FALSE,0,0,0,2,2,4,0,1,0,0,2,1,50,3,1,33.3,0,0,0,1,0,0,0,3,0,0,"18:10",-13,5,FALSE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"324279","Nick","Stampley","Nick Stampley","B","P_324279","24",FALSE,FALSE,1,0,0,6,1,7,0,5,1,20,4,1,25,9,2,22.2,0,0,0,4,1,25,1,5,2,1,"32:14",-16,7,TRUE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"259512","Josh","Heath","Josh Heath","B","P_259512","30",FALSE,FALSE,9,0,0,2,2,4,2,5,2,40,3,1,33.3,8,3,37.5,2,2,100,2,2,100,3,9,1,3,"30:15",-22,15,TRUE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"237409","Seppe","Willems","Seppe Willems","B","P_237409","32",FALSE,FALSE,0,0,0,2,0,2,0,4,1,25,0,0,0,4,1,25,0,0,0,1,0,0,1,2,0,0,"12:5",-10,1,FALSE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"238475","Zaba","Bangala","Zaba Bangala","B","P_238475","5",FALSE,FALSE,0,2,0,1,1,2,5,9,5,55.6,3,0,0,12,5,41.7,7,3,42.9,8,5,62.5,3,13,0,3,"27:56",-15,3,TRUE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128685,"288059","Mojeed","Ewuosho","Mojeed Ewuosho","B","P_288059","8",FALSE,FALSE,2,1,0,6,0,6,8,12,4,33.3,2,1,50,14,5,35.7,6,6,100,8,4,50,2,17,1,4,"36:18",-16,14,TRUE,TRUE,"Kangoeroes Basket Mechelen","KK Bosna BH Telecom"
"FIBA Europe Cup",39,2025-09-24,128687,"340312","Tevin","Brown","Tevin Brown","A","P_340312","10",FALSE,FALSE,1,0,0,5,2,7,1,6,2,33.3,8,4,50,14,6,42.9,0,0,0,4,1,25,4,16,2,2,"29:18",12,16,TRUE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"325439","Alonzo","Verge","Alonzo Verge","A","P_325439","11",FALSE,FALSE,9,0,0,5,0,5,4,12,7,58.3,2,0,0,14,7,50,5,4,80,9,5,55.6,3,18,1,1,"26:35",13,24,TRUE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"338971","Tommy","Kuhse","Tommy Kuhse","A","P_338971","12",FALSE,FALSE,9,0,0,1,0,1,3,8,5,62.5,7,1,14.3,15,6,40,2,2,100,8,5,62.5,0,15,2,0,"29:30",13,18,TRUE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"211506","Philipp","Herkenhoff","Philipp Herkenhoff","A","P_211506","14",FALSE,FALSE,1,1,0,2,1,3,3,3,3,100,2,0,0,5,3,60,6,4,66.7,3,3,100,2,10,0,0,"28:26",9,11,TRUE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"344704","Linus","Trettin","Linus Trettin","A","P_344704","15",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"251013","Lars","Thiemann","Lars Thiemann","A","P_251013","21",FALSE,FALSE,0,1,0,3,3,6,3,4,3,75,0,0,0,4,3,75,4,3,75,4,3,75,4,9,0,0,"18:44",10,14,FALSE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"400311","Malcolm","Dandridge","Malcolm Dandridge","A","P_400311","23",FALSE,FALSE,0,0,0,1,0,1,0,2,1,50,0,0,0,2,1,50,0,0,0,2,1,50,0,2,0,1,"8:13",-5,1,TRUE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"314918","Roy","Krupnikas","Roy Krupnikas","A","P_314918","24",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"224226","Lloyd","Pandi","Lloyd Pandi","A","P_224226","41",FALSE,FALSE,0,0,0,8,1,9,1,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,2,0,0,1,"22:54",7,4,FALSE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"399896","TJ","Bamba","TJ Bamba","A","P_399896","5",FALSE,FALSE,0,0,0,1,0,1,2,4,2,50,2,1,50,6,3,50,0,0,0,3,2,66.7,2,7,0,0,"12:47",8,5,FALSE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"227406","Luc","Van Slooten","Luc Van Slooten","A","P_227406","6",FALSE,FALSE,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,"6:4",-3,-1,FALSE,TRUE,"RASTA Vechta","BC Balkan"
"FIBA Europe Cup",39,2025-09-24,128687,"189799","Joschka","Ferner","Joschka Ferner","A","P_189799","9",TRUE,FALSE,0,0,0,3,0,3,1,1,1,100,2,0,0,3,1,33.3,0,0,0,1,1,100,3,2,2,0,"17:29",16,5,FALSE,TRUE,"RASTA Vechta","BC Balkan"
